questions,answers
"اگر بین چند پزشک مردد باشم، چگونه تصمیم بگیرم؟","پزشکان را از نظر تخصص، سابقه، امتیاز، نظرات بیماران، فاصله تا محل زندگی، زمان‌های خالی و هزینه ویزیت مقایسه کنید و پزشکی را انتخاب کنید که بیشترین تطابق را با نیاز شما دارد."
"اگر پزشک موردنظر نوبت خالی نداشته باشد، چه کار کنم؟","می‌توانید زمان دیگری را انتخاب کنید، پزشکان هم‌تخصص را بررسی کنید یا در صورت وجود، از قابلیت اطلاع‌رسانی زمان‌های خالی استفاده کنید."
از کجا بفهمم این پزشک برای مشکل من مناسب است؟,"ابتدا مطمئن شوید تخصص پزشک با مشکل شما مرتبط است. سپس سوابق، خدمات ارائه‌شده، نظرات بیماران و اطلاعات موجود درباره پزشک را بررسی کنید تا انتخاب آگاهانه‌تری داشته باشید."
چگونه نوبت خود را لغو کنم؟,"برای لغو نوبت، وارد حساب کاربری خود شوید، به بخش «نوبت‌های من» بروید، نوبت موردنظر را انتخاب کنید و در صورت فعال بودن این امکان، گزینه «لغو نوبت» را انتخاب کنید."
تا چه زمانی قبل از نوبت می‌توانم آن را لغو کنم؟,"مهلت لغو نوبت به قوانین پزشک یا مرکز درمانی بستگی دارد. در برخی موارد، لغو تنها تا زمان مشخصی قبل از مراجعه امکان‌پذیر است."
"اگر نوبتم را لغو کنم، هزینه پرداخت‌شده بازگردانده می‌شود؟","بازگشت وجه به قوانین پزشک، مرکز درمانی و شرایط رزرو بستگی دارد. در صورت امکان استرداد، مبلغ مطابق قوانین مربوطه بازگردانده می‌شود."
"اگر گزینه لغو نوبت را نبینم، چه کار کنم؟","در صورتی که امکان لغو از طریق سامانه وجود نداشته باشد، می‌توانید با پشتیبانی سامانه یا مرکز درمانی تماس بگیرید تا شما را راهنمایی کنند."
"آیا بعد از لغو نوبت، پیام تأیید دریافت می‌کنم؟","بله. در صورت موفقیت‌آمیز بودن لغو، معمولاً پیام یا اعلان تأیید برای شما ارسال می‌شود."
"آیا می‌توانم بعد از لغو، دوباره همان نوبت را رزرو کنم؟","بله، در صورتی که آن زمان هنوز در دسترس باشد، می‌توانید دوباره آن را رزرو کنید. در غیر این صورت باید زمان دیگری را انتخاب نمایید."
"اگر پزشک نوبت را لغو کند، چه اتفاقی می‌افتد؟","در صورت لغو نوبت توسط پزشک یا مرکز درمانی، معمولاً از طریق پیامک، اعلان یا تماس به شما اطلاع داده می‌شود و در صورت نیاز می‌توانید نوبت جدیدی رزرو کنید."
آیا می‌توانم با بیمه نوبت رزرو کنم؟,"بله. امکان استفاده از بیمه به پزشک یا مرکز درمانی بستگی دارد. قبل از رزرو، اطلاعات مربوط به بیمه‌های قابل پذیرش را در صفحه پزشک بررسی کنید یا با مطب تماس بگیرید."
آیا پرداخت هزینه ویزیت به‌صورت آنلاین امکان‌پذیر است؟,"برای برخی پزشکان و مراکز درمانی، پرداخت آنلاین هنگام رزرو نوبت امکان‌پذیر است. در سایر موارد، هزینه ویزیت در زمان مراجعه به مطب یا مرکز درمانی پرداخت می‌شود."
"اگر پرداخت ناموفق باشد، چه کار کنم؟","ابتدا از اتصال اینترنت و کسر نشدن مبلغ از حساب خود مطمئن شوید. در صورت ادامه مشکل، دوباره برای پرداخت اقدام کنید یا با پشتیبانی سامانه تماس بگیرید."
"اگر مبلغ از حسابم کم شود اما نوبت ثبت نشود، چه اتفاقی می‌افتد؟","در چنین شرایطی، درخواست شما توسط سامانه بررسی می‌شود. در صورت تأیید ناموفق بودن تراکنش، مبلغ مطابق قوانین بانکی و فرآیندهای مربوطه به حساب شما بازگردانده خواهد شد."
آیا هزینه ویزیت با بیمه کمتر می‌شود؟,"میزان پوشش بیمه به نوع بیمه، قرارداد پزشک یا مرکز درمانی و قوانین بیمه‌گر بستگی دارد. برای اطلاع دقیق از سهم پرداختی، بهتر است قبل از مراجعه شرایط بیمه را بررسی کنید."
"اگر درباره پرداخت یا بیمه سؤال داشته باشم، از کجا راهنمایی بگیرم؟","در صورت وجود ابهام درباره پرداخت، بازگشت وجه یا شرایط استفاده از بیمه، می‌توانید با پشتیبانی سامانه یا مطب پزشک تماس بگیرید تا اطلاعات لازم را دریافت کنید."
ویزیت آنلاین چیست؟,"ویزیت آنلاین خدمتی است که به شما امکان می‌دهد بدون مراجعه حضوری، از طریق تماس تصویری، تماس صوتی یا گفت‌وگوی متنی (بسته به امکانات پزشک)، با پزشک مشاوره داشته باشید"
چگونه ویزیت آنلاین رزرو کنم؟,"پزشکی را انتخاب کنید که خدمات ویزیت آنلاین ارائه می‌دهد، نوع ویزیت را مشخص کنید، زمان مناسب را انتخاب کرده و پس از تکمیل اطلاعات و پرداخت (در صورت نیاز)، رزرو خود را نهایی کنید."
آیا همه پزشکان ویزیت آنلاین دارند؟,خیر. فقط پزشکانی که این خدمت را فعال کرده‌اند امکان ویزیت آنلاین دارند. نوع خدمات هر پزشک در صفحه اختصاصی او قابل مشاهده است.
ویزیت آنلاین چگونه انجام می‌شود؟,"نحوه برگزاری ویزیت به پزشک بستگی دارد و ممکن است از طریق تماس تلفنی، گفت‌وگوی متنی یا تماس تصویری انجام شود. اطلاعات لازم قبل از زمان ویزیت در اختیار شما قرار می‌گیرد."
آیا برای ویزیت آنلاین باید در زمان مشخصی آنلاین باشم؟,بله. بهتر است چند دقیقه قبل از زمان تعیین‌شده آماده باشید و از اتصال مناسب اینترنت و در دسترس بودن تلفن همراه یا دستگاه خود اطمینان حاصل کنید.
آیا می‌توانم مدارک پزشکی یا جواب آزمایش را برای پزشک ارسال کنم؟,"بله. در صورتی که سامانه از این قابلیت پشتیبانی کند، می‌توانید مدارک پزشکی، تصاویر یا نتایج آزمایش‌های خود را برای پزشک ارسال کنید تا در زمان ویزیت بررسی شوند."
آیا بعد از ویزیت آنلاین نسخه پزشکی صادر می‌شود؟,"در صورت نیاز و با تشخیص پزشک، ممکن است نسخه دارویی یا نسخه الکترونیکی برای شما صادر شود. صدور نسخه به نظر پزشک و قوانین مربوطه بستگی دارد."
"اگر پزشک در زمان تعیین‌شده پاسخ ندهد، چه کار کنم؟","ابتدا چند دقیقه صبر کنید، زیرا ممکن است پزشک با تأخیر در دسترس قرار گیرد. اگر ارتباط برقرار نشد، از طریق بخش پشتیبانی سامانه موضوع را پیگیری کنید."
آیا ویزیت آنلاین برای همه بیماری‌ها مناسب است؟,"خیر. ویزیت آنلاین بیشتر برای مشاوره، پیگیری درمان، بررسی نتایج آزمایش و مشکلاتی مناسب است که نیاز به معاینه فیزیکی ندارند. در برخی موارد، پزشک ممکن است مراجعه حضوری را توصیه کند."
آیا می‌توانم برای شرایط اورژانسی از پذیرش۲۴ استفاده کنم؟,خیر. پذیرش۲۴ برای رزرو نوبت و دریافت خدمات درمانی غیر اورژانسی طراحی شده است. در شرایط اورژانسی باید فوراً با اورژانس تماس بگیرید یا به نزدیک‌ترین مرکز درمانی مراجعه کنید.
چه شرایطی اورژانسی محسوب می‌شوند؟,"علائمی مانند درد شدید قفسه سینه، تنگی نفس شدید، کاهش سطح هوشیاری، خونریزی شدید، تشنج، سوختگی‌های شدید، آسیب‌های جدی، ضعف یا بی‌حسی ناگهانی یک سمت بدن و علائم سکته مغزی از مواردی هستند که نیاز به مراجعه فوری به اورژانس دارند"
آیا در شرایط اورژانسی می‌توانم از ویزیت آنلاین استفاده کنم؟,خیر. ویزیت آنلاین برای شرایط اورژانسی مناسب نیست و نباید باعث تأخیر در دریافت خدمات درمانی فوری شود.
"اگر مطمئن نباشم وضعیت من اورژانسی است یا نه، چه کار کنم؟","اگر علائم شدید، ناگهانی یا تهدیدکننده حیات دارید، بهتر است جانب احتیاط را رعایت کرده و با اورژانس تماس بگیرید یا به نزدیک‌ترین مرکز درمانی مراجعه کنید. در موارد خفیف‌تر می‌توانید از خدمات نوبت‌دهی یا مشاوره پزشکی استفاده کنید."
"اگر شرایط اورژانسی نباشد، بهترین اقدام چیست ؟","اگر وضعیت شما اورژانسی نیست، می‌توانید پزشک مناسب را جستجو کرده، نوبت حضوری یا آنلاین رزرو کنید و در زمان مناسب برای بررسی و درمان به پزشک مراجعه نمایید."
